2017-12-17 18:32:47 WARN  AnnotationConfigApplicationContext:557 - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'mainController': Unsatisfied dependency expressed through field 'statisticsSubscriptionView'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'statisticsSubscriptionView' defined in class path resource [books/library/ViewConfiguration.class]: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [books.library.ViewHolder]: Factory method 'getStatisticsSubscriptionView' threw exception; nested exception is javafx.fxml.LoadException: Invalid resource: /css/neitral_style.css not found on the classpath
unknown path:28

2017-12-17 18:33:41 INFO  AnnotationConfigApplicationContext:589 - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@ca5f29: startup date [Sun Dec 17 18:33:41 MSK 2017]; root of context hierarchy
2017-12-17 18:33:41 INFO  AutowiredAnnotationBeanPostProcessor:154 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-12-17 18:33:41 INFO  MyLogger:42 - Настройки логирования загружены!
2017-12-17 18:33:41 INFO  MyLogger:50 - Загрузка настроек...
2017-12-17 18:33:41 INFO  MyLogger:50 - Загрузка настроек завершена
2017-12-17 18:33:41 INFO  DriverManagerDataSource:133 - Loaded JDBC driver: org.sqlite.JDBC
2017-12-17 18:33:41 INFO  Version:45 - HHH000412: Hibernate Core {5.2.12.Final}
2017-12-17 18:33:41 INFO  Environment:213 - HHH000206: hibernate.properties not found
2017-12-17 18:33:41 INFO  Version:66 - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2017-12-17 18:33:42 INFO  Dialect:157 - HHH000400: Using dialect: com.enigmabridge.hibernate.dialect.SQLiteDialect
2017-12-17 18:33:42 INFO  LobCreatorBuilderImpl:98 - HHH000423: Disabling contextual LOB creation as JDBC driver reported JDBC version [2] less than 4
2017-12-17 18:33:43 INFO  HibernateTransactionManager:378 - Using DataSource [org.springframework.jdbc.datasource.DriverManagerDataSource@1f6c84d] of Hibernate SessionFactory for HibernateTransactionManager
2017-12-17 18:33:43 WARN  AnnotationConfigApplicationContext:557 - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'mainController': Unsatisfied dependency expressed through field 'statisticsSubscriptionView'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'statisticsSubscriptionView' defined in class path resource [books/library/ViewConfiguration.class]: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [books.library.ViewHolder]: Factory method 'getStatisticsSubscriptionView' threw exception; nested exception is javafx.fxml.LoadException: Invalid resource: /css/neitral_style.css not found on the classpath
unknown path:28

2017-12-17 18:33:49 INFO  AnnotationConfigApplicationContext:589 - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@324bfa: startup date [Sun Dec 17 18:33:49 MSK 2017]; root of context hierarchy
2017-12-17 18:33:49 INFO  AutowiredAnnotationBeanPostProcessor:154 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-12-17 18:33:49 INFO  MyLogger:42 - Настройки логирования загружены!
2017-12-17 18:33:49 INFO  MyLogger:50 - Загрузка настроек...
2017-12-17 18:33:49 INFO  MyLogger:50 - Загрузка настроек завершена
2017-12-17 18:33:49 INFO  DriverManagerDataSource:133 - Loaded JDBC driver: org.sqlite.JDBC
2017-12-17 18:33:49 INFO  Version:45 - HHH000412: Hibernate Core {5.2.12.Final}
2017-12-17 18:33:49 INFO  Environment:213 - HHH000206: hibernate.properties not found
2017-12-17 18:33:49 INFO  Version:66 - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2017-12-17 18:33:50 INFO  Dialect:157 - HHH000400: Using dialect: com.enigmabridge.hibernate.dialect.SQLiteDialect
2017-12-17 18:33:50 INFO  LobCreatorBuilderImpl:98 - HHH000423: Disabling contextual LOB creation as JDBC driver reported JDBC version [2] less than 4
2017-12-17 18:33:51 INFO  HibernateTransactionManager:378 - Using DataSource [org.springframework.jdbc.datasource.DriverManagerDataSource@2de0c3] of Hibernate SessionFactory for HibernateTransactionManager
2017-12-17 18:33:51 WARN  AnnotationConfigApplicationContext:557 - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'mainController': Unsatisfied dependency expressed through field 'statisticsSubscriptionView'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'statisticsSubscriptionView' defined in class path resource [books/library/ViewConfiguration.class]: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [books.library.ViewHolder]: Factory method 'getStatisticsSubscriptionView' threw exception; nested exception is javafx.fxml.LoadException: Invalid resource: /css/neitral_style.css not found on the classpath
unknown path:28

2017-12-17 18:38:51 INFO  AnnotationConfigApplicationContext:589 - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@324bfa: startup date [Sun Dec 17 18:38:51 MSK 2017]; root of context hierarchy
2017-12-17 18:38:52 INFO  AutowiredAnnotationBeanPostProcessor:154 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-12-17 18:38:52 INFO  MyLogger:42 - Настройки логирования загружены!
2017-12-17 18:38:52 INFO  MyLogger:50 - Загрузка настроек...
2017-12-17 18:38:52 INFO  MyLogger:50 - Загрузка настроек завершена
2017-12-17 18:38:52 INFO  DriverManagerDataSource:133 - Loaded JDBC driver: org.sqlite.JDBC
2017-12-17 18:38:52 INFO  Version:45 - HHH000412: Hibernate Core {5.2.12.Final}
2017-12-17 18:38:52 INFO  Environment:213 - HHH000206: hibernate.properties not found
